,X,Y
1,173,257
2,326,337
3,395,217
4,533,407
5,452,507
6,603,431
7,699,224
8,1020,365
9,1016,290
10,1148,353
11,1098,540
12,1008,471
13,1181,625
14,1090,216
15,1516,367
16,1593,470
17,1251,590
18,1209,527
19,1222,697
20,1282,740
21,1324,730
22,1245,830
23,1189,776
24,1118,823
25,950,812
26,1031,834
27,1132,952
28,949,676
29,862,610
30,1055,569
31,1054,668
32,1503,137
33,1288,234
34,1644,360
35,541,722
36,602,858
37,765,747
38,690,598
39,183,707
40,371,479
41,405,811
42,403,752
43,371,774
44,1504,173
45,1289,1241
46,1397,1188
47,1361,1275
48,1293,1303
49,680,1135
50,689,1217
51,731,1238
52,1635,888
53,306,1058
54,306,1135
55,1050,1252
56,924,1257
57,951,1289
58,1451,704
59,1484,757
60,1455,768
61,1398,568
62,1368,515
63,1766,683
64,1349,1419
65,1300,956
66,1316,916
67,1366,917
68,685,291
69,498,1104
70,465,1082
71,696,381
72,533,235
73,1461,358
74,1191,385
75,1363,346
76,1016,987
77,1222,1280
78,173,359
