,X,Y
1,119,144
2,245,216
3,336,100
4,419,287
5,340,393
6,490,310
7,606,101
8,922,274
9,895,185
10,1021,249
11,975,447
12,891,370
13,1065,530
14,983,109
15,1393,278
16,1495,408
17,1117,494
18,1091,437
19,1096,621
20,1155,654
21,1195,631
22,1118,735
23,1053,683
24,994,735
25,821,712
26,892,740
27,1008,858
28,819,583
29,738,499
30,929,467
31,936,572
32,1384,36
33,1194,144
34,1502,280
35,418,619
36,506,752
37,635,653
38,573,495
39,93,586
40,266,363
41,278,698
42,279,643
43,249,658
44,1388,69
45,1146,1162
46,1256,1108
47,1227,1192
48,1144,1224
49,532,1040
50,545,1120
51,586,1136
52,1497,814
53,166,933
54,173,1011
55,936,1163
56,800,1175
57,830,1205
58,1306,604
59,1344,660
60,1318,670
61,1264,483
62,1252,433
63,1636,618
64,1180,1352
65,1171,868
66,1183,834
67,1229,824
68,582,160
69,364,1004
70,331,979
71,586,266
72,454,110
73,1340,264
74,1071,278
75,1238,255
76,870,902
77,1073,1208
78,119,235
