,X,Y
1,702,277
2,1103,235
3,1026,272
4,1030,230
5,950,391
6,915,361
7,1066,319
8,1078,348
9,1166,375
10,1203,356
11,1763,563
12,1719,536
13,1661,573
14,1661,479
15,1547,636
16,1527,606
17,1514,545
18,1457,711
19,1757,857
20,1693,827
21,1572,748
22,1970,552
23,2060,541
24,2092,566
25,2084,549
26,2010,601
27,2121,612
28,2246,799
29,2214,728
30,2099,710
31,2317,771
32,1316,509
33,1652,1127
34,1587,996
35,1654,992
36,1512,1064
37,1428,1134
38,1410,1243
39,1280,1319
40,1329,1367
41,422,676
42,475,789
43,536,562
44,1682,1523
45,1760,1503
46,1786,1590
47,1849,1632
48,1911,1683
49,1918,1653
50,1849,1548
51,1701,1611
52,442,1256
53,498,1282
54,450,1357
55,1071,1576
56,1123,1518
57,1352,1587
58,2343,1204
59,2312,829
60,2448,1030
61,2420,1143
62,2083,1297
63,2124,1268
64,2045,1025
65,2054,1078
66,2237,990
67,2250,1038
68,1892,988
69,1860,992
70,1837,966
71,1881,934
72,1802,1088
73,355,1155
74,371,1084
75,371,987
76,1196,1192
77,1156,1219
78,856,1223
79,914,1304
80,930,1246
81,1312,844
82,1296,902
83,1385,942
84,1116,710
85,1128,749
86,1254,671
87,1277,706
88,807,799
89,774,833
90,836,882
91,645,932
92,700,987
93,692,1035
94,765,484
95,762,517
96,740,512
