,X,Y
1,743,215
2,1161,123
3,1067,158
4,1072,118
5,1005,278
6,969,244
7,1117,199
8,1129,229
9,1215,251
10,1255,234
11,1830,420
12,1789,395
13,1717,433
14,1709,340
15,1614,494
16,1591,474
17,1571,405
18,1518,565
19,1852,688
20,1792,677
21,1647,602
22,2065,394
23,2156,376
24,2192,399
25,2186,388
26,2097,439
27,2223,446
28,2336,613
29,2308,547
30,2192,535
31,2435,580
32,1358,366
33,1752,959
34,1694,827
35,1746,837
36,1602,906
37,1532,986
38,1513,1096
39,1372,1173
40,1426,1209
41,470,589
42,548,698
43,604,466
44,1802,1345
45,1877,1328
46,1904,1411
47,1965,1452
48,1998,1491
49,2014,1473
50,1965,1371
51,1828,1434
52,544,1151
53,595,1187
54,548,1260
55,1207,1431
56,1236,1376
57,1455,1433
58,2456,1007
59,2404,627
60,2558,858
61,2529,961
62,2202,1116
63,2233,1097
64,2151,844
65,2164,897
66,2355,793
67,2352,853
68,1989,825
69,1956,836
70,1937,805
71,1974,765
72,1903,924
73,450,1055
74,457,995
75,455,895
76,1293,1050
77,1252,1080
78,976,1107
79,1007,1177
80,1028,1121
81,1376,689
82,1378,770
83,1455,805
84,1183,582
85,1204,623
86,1316,537
87,1348,572
88,902,682
89,861,719
90,907,771
91,720,822
92,799,871
93,780,931
94,832,375
95,833,411
96,806,407
