,X,Y
1,664,181
2,1085,84
3,1005,126
4,1014,86
5,936,276
6,898,245
7,1040,190
8,1061,210
9,1150,226
10,1190,199
11,1779,340
12,1727,313
13,1682,356
14,1667,261
15,1569,425
16,1545,410
17,1528,355
18,1486,529
19,1814,626
20,1733,598
21,1594,538
22,2034,281
23,2134,263
24,2164,287
25,2159,268
26,2077,343
27,2197,338
28,2316,513
29,2289,441
30,2161,439
31,2390,479
32,1325,346
33,1735,910
34,1651,783
35,1718,773
36,1580,868
37,1501,954
38,1491,1065
39,1374,1157
40,1429,1203
41,414,618
42,503,733
43,542,493
44,1811,1302
45,1886,1272
46,1930,1369
47,1998,1407
48,2069,1458
49,2075,1424
50,1972,1311
51,1836,1391
52,514,1206
53,582,1240
54,554,1318
55,1190,1444
56,1237,1373
57,1472,1425
58,2444,910
59,2389,550
60,2543,730
61,2516,849
62,2183,1029
63,2228,990
64,2121,760
65,2138,824
66,2321,708
67,2341,761
68,1980,722
69,1954,726
70,1936,705
71,1954,682
72,1887,841
73,418,1114
74,430,1047
75,430,941
76,1263,1044
77,1227,1072
78,930,1110
79,999,1191
80,1005,1128
81,1373,682
82,1336,733
83,1419,781
84,1140,566
85,1150,607
86,1275,509
87,1304,542
88,835,702
89,800,733
90,843,779
91,690,852
92,747,903
93,739,950
94,754,378
95,762,412
96,740,411
